0 zeroprobs, logprob= -517.591 ppl= 129.603 ppl1= 214.531
file lyrics-kanye-west/song_166.txt: 49 sentences, 293 words, 0 OOVs
0 zeroprobs, logprob= -681.84 ppl= 98.556 ppl1= 212.372
file lyrics-kanye-west/song_167.txt: 64 sentences, 597 words, 0 OOVs
0 zeroprobs, logprob= -1400.7 ppl= 131.54 ppl1= 221.935
file lyrics-kanye-west/song_168.txt: 87 sentences, 546 words, 0 OOVs
0 zeroprobs, logprob= -1017.11 ppl= 40.4405 ppl1= 72.9201
file lyrics-kanye-west/song_169.txt: 82 sentences, 601 words, 0 OOVs
0 zeroprobs, logprob= -1282.9 ppl= 75.5672 ppl1= 136.336
file lyrics-kanye-west/song_170.txt: 146 sentences, 956 words, 0 OOVs
0 zeroprobs, logprob= -1946.9 ppl= 58.4384 ppl1= 108.77
file lyrics-kanye-west/song_171.txt: 86 sentences, 682 words, 0 OOVs
0 zeroprobs, logprob= -1290.79 ppl= 47.9422 ppl1= 78.1008
file lyrics-kanye-west/song_172.txt: 50 sentences, 324 words, 0 OOVs
0 zeroprobs, logprob= -616.029 ppl= 44.3747 ppl1= 79.6753
file lyrics-kanye-west/song_173.txt: 111 sentences, 846 words, 0 OOVs
0 zeroprobs, logprob= -2017.11 ppl= 128.156 ppl1= 242.263
file lyrics-kanye-west/song_174.txt: 68 sentences, 495 words, 0 OOVs
0 zeroprobs, logprob= -1077.68 ppl= 82.0679 ppl1= 150.359
file lyrics-kanye-west/song_175.txt: 60 sentences, 510 words, 0 OOVs
0 zeroprobs, logprob= -1112.81 ppl= 89.5984 ppl1= 152.049
file lyrics-kanye-west/song_176.txt: 32 sentences, 255 words, 0 OOVs
0 zeroprobs, logprob= -498.39 ppl= 54.5192 ppl1= 90.047
file lyrics-kanye-west/song_177.txt: 85 sentences, 539 words, 0 OOVs
0 zeroprobs, logprob= -1149.83 ppl= 69.6113 ppl1= 135.916
file lyrics-kanye-west/song_178.txt: 72 sentences, 576 words, 0 OOVs
0 zeroprobs, logprob= -1389.16 ppl= 139.242 ppl1= 258.072
file lyrics-kanye-west/song_179.txt: 15 sentences, 101 words, 0 OOVs
0 zeroprobs, logprob= -232.808 ppl= 101.616 ppl1= 201.85
file lyrics-kanye-west/song_180.txt: 112 sentences, 610 words, 0 OOVs
